index,x,y,z,widthCm
0,0,0,0,1100
1,-450.97,296.07,6.35,1100
2,-1035.26,674.49,13.28,1100
3,-1729.36,1123.5,21.39,1100
4,-2509.73,1631.33,31.25,1100
5,-3352.85,2186.21,43.46,1100
6,-4235.17,2776.39,58.59,1100
7,-5133.19,3390.1,77.25,1100
8,-6023.36,4015.57,100,1100
9,-6944.9,4644.97,127.25,1100
10,-7937.03,5286.13,158.59,1100
11,-8976.22,5950.81,193.46,1100
12,-10038.93,6650.79,231.25,1100
13,-11101.65,7397.83,271.39,1100
14,-12140.83,8203.69,313.28,1100
15,-13132.96,9080.14,356.35,1100
16,-14054.51,10038.93,400,1100
17,-14903.5,11156.55,446.58,1100
18,-15701.52,12454.55,497.66,1100
19,-16460.32,13862.35,551.46,1100
20,-17191.67,15309.37,606.25,1100
21,-17907.34,16725.02,660.25,1100
22,-18619.08,18038.71,711.72,1100
23,-19338.67,19179.85,758.89,1100
24,-20077.87,20077.87,800,1100
25,-20817.06,20768.04,833.2,1100
26,-21536.65,21332.73,859.38,1100
27,-22248.39,21771.94,880.86,1100
28,-22964.06,22085.65,900,1100
29,-23695.41,22273.88,919.14,1100
30,-24454.21,22336.63,940.63,1100
31,-25252.23,22273.88,966.8,1100
32,-26101.23,22085.65,1000,1100
33,-27022.77,21730.76,1040.43,1100
34,-28014.9,21191.56,1085.94,1100
35,-29054.08,20503.34,1135.35,1100
36,-30116.8,19701.41,1187.5,1100
37,-31179.51,18821.04,1241.21,1100
38,-32218.7,17897.53,1295.31,1100
39,-33210.83,16966.19,1348.63,1100
40,-34132.37,16062.29,1400,1100
41,-34995.09,15154.47,1450,1100
42,-35826.44,14195.68,1500,1100
43,-36626.42,13197.67,1550,1100
44,-37395.02,12172.21,1600,1100
45,-38132.26,11131.06,1650,1100
46,-38838.12,10085.99,1700,1100
47,-39512.61,9048.76,1750,1100
48,-40155.73,8031.15,1800,1100
49,-40740.03,7040.98,1850,1100
50,-41253.74,6070.42,1900,1100
51,-41720.39,5107.7,1950,1100
52,-42163.52,4141.06,2000,1100
53,-42606.64,3158.73,2050,1100
54,-43073.3,2148.96,2100,1100
55,-43587.01,1099.97,2150,1100
56,-44171.3,0,2200,1100
57,-44855.6,-1172.52,2250,1100
58,-45630.09,-2415.62,2300,1100
59,-46459.48,-3705.78,2350,1100
60,-47308.47,-5019.47,2400,1100
61,-48141.78,-6333.15,2450,1100
62,-48924.11,-7623.31,2500,1100
63,-49620.17,-8866.42,2550,1100
64,-50194.66,-10038.93,2600,1100
65,-50692.69,-11125.18,2649.32,1100
66,-51167.19,-12140.83,2697.66,1100
67,-51594.62,-13109.43,2745.61,1100
68,-51951.48,-14054.51,2793.75,1100
69,-52214.22,-14999.58,2842.68,1100
70,-52359.31,-15968.18,2892.97,1100
71,-52363.23,-16983.84,2945.21,1100
72,-52202.45,-18070.08,3000,1100
73,-51847.56,-19283.77,3059.08,1100
74,-51308.36,-20626.87,3122.66,1100
75,-50620.14,-22040.56,3188.96,1100
76,-49818.2,-23466.01,3256.25,1100
77,-48937.84,-24844.4,3322.75,1100
78,-48014.33,-26116.91,3386.72,1100
79,-47082.99,-27224.72,3446.39,1100
80,-46179.09,-28109.01,3500,1100
81,-45271.27,-28785.46,3546.39,1100
82,-44312.48,-29316.82,3586.72,1100
83,-43314.47,-29714.85,3622.75,1100
