index,x,y,z,widthCm
0,-28000,-4000,0,1600
1,-28188.48,-3375.98,1.61,1600
2,-28476.56,-2539.06,3.83,1600
3,-28823.24,-1541.99,6.47,1600
4,-29187.5,-437.5,9.38,1600
5,-29528.32,721.68,12.35,1600
6,-29804.69,1882.81,15.23,1600
7,-29975.59,2993.16,17.84,1600
8,-30000,4000,20,1600
9,-29888.18,4926.27,21.66,1600
10,-29683.59,5832.03,22.97,1600
11,-29395.02,6720.21,24.04,1600
12,-29031.25,7593.75,25,1600
13,-28601.07,8455.57,25.96,1600
14,-28113.28,9308.59,27.03,1600
15,-27576.66,10155.76,28.34,1600
16,-27000,11000,30,1600
17,-26361.82,11856.93,32.02,1600
18,-25644.53,12730.47,34.3,1600
19,-24862.79,13605.96,36.77,1600
20,-24031.25,14468.75,39.38,1600
21,-23164.55,15304.2,42.06,1600
22,-22277.34,16097.66,44.77,1600
23,-21384.28,16834.47,47.43,1600
24,-20500,17500,50,1600
25,-19600.1,18135.74,52.57,1600
26,-18660.16,18773.44,55.23,1600
27,-17694.82,19383.79,57.94,1600
28,-16718.75,19937.5,60.62,1600
29,-15746.58,20405.27,63.23,1600
30,-14792.97,20757.81,65.7,1600
31,-13872.56,20965.82,67.98,1600
32,-13000,21000,70,1600
33,-12178.22,20758.79,71.66,1600
34,-11394.53,20226.56,72.97,1600
35,-10640.14,19502.93,74.04,1600
36,-9906.25,18687.5,75,1600
37,-9184.08,17879.88,75.96,1600
38,-8464.84,17179.69,77.03,1600
39,-7739.75,16686.52,78.34,1600
40,-7000,16500,80,1600
41,-6250,16686.52,82.16,1600
42,-5500,17179.69,84.77,1600
43,-4750,17879.88,87.65,1600
44,-4000,18687.5,90.63,1600
45,-3250,19502.93,93.53,1600
46,-2500,20226.56,96.17,1600
47,-1750,20758.79,98.39,1600
48,-1000,21000,100,1600
49,-243.16,20890.63,100.82,1600
50,523.44,20500,100.94,1600
51,1293.95,19921.88,100.59,1600
52,2062.5,19250,100,1600
53,2823.24,18578.13,99.41,1600
54,3570.31,18000,99.06,1600
55,4297.85,17609.38,99.18,1600
56,5000,17500,100,1600
57,5659.18,17696.78,101.82,1600
58,6273.44,18121.09,104.53,1600
59,6860.35,18711.43,107.79,1600
