index,x,y,z,widthCm
0,-32000,-4000,0,1700
1,-32188.48,-3382.81,0,1700
2,-32476.56,-2562.5,0,1700
3,-32823.24,-1585.94,0,1700
4,-33187.5,-500,0,1700
5,-33528.32,648.44,0,1700
6,-33804.69,1812.5,0,1700
7,-33975.59,2945.31,0,1700
8,-34000,4000,0,1700
9,-33884.77,5006.84,3.86,1700
10,-33671.88,6023.44,8.98,1700
11,-33373.05,7043.95,15.09,1700
12,-33000,8062.5,21.88,1700
13,-32564.45,9073.24,29.05,1700
14,-32078.13,10070.31,36.33,1700
15,-31552.73,11047.85,43.41,1700
16,-31000,12000,50,1700
17,-30407.23,12943.36,56.93,1700
18,-29757.81,13890.63,64.84,1700
19,-29057.62,14830.08,73.14,1700
20,-28312.5,15750,81.25,1700
21,-27528.32,16638.67,88.57,1700
22,-26710.94,17484.38,94.53,1700
23,-25866.21,18275.39,98.54,1700
24,-25000,19000,100,1700
25,-24095.7,19657.23,98.54,1700
26,-23140.63,20257.81,94.53,1700
27,-22146.48,20807.62,88.57,1700
28,-21125,21312.5,81.25,1700
29,-20087.89,21778.32,73.14,1700
30,-19046.88,22210.94,64.84,1700
31,-18013.67,22616.21,56.93,1700
32,-17000,23000,50,1700
33,-15979.49,23393.55,43.41,1700
34,-14929.69,23804.69,36.33,1700
35,-13868.16,24204.1,29.05,1700
36,-12812.5,24562.5,21.88,1700
37,-11780.27,24850.59,15.09,1700
38,-10789.06,25039.06,8.98,1700
39,-9856.45,25098.63,3.86,1700
40,-9000,25000,0,1700
41,-8238.28,24641.6,0,1700
42,-7562.5,24007.81,0,1700
43,-6949.22,23198.24,0,1700
44,-6375,22312.5,0,1700
45,-5816.41,21450.2,0,1700
46,-5250,20710.94,0,1700
47,-4652.34,20194.34,0,1700
48,-4000,20000,0,1700
49,-3311.52,20166.99,3.86,1700
50,-2617.19,20617.19,8.98,1700
51,-1911.13,21274.41,15.09,1700
52,-1187.5,22062.5,21.88,1700
53,-440.43,22905.27,29.05,1700
54,335.94,23726.56,36.33,1700
55,1147.46,24450.2,43.41,1700
56,2000,25000,50,1700
57,2897.46,25403.81,55.91,1700
58,3835.94,25746.09,61.33,1700
59,4809.57,26035.64,66.55,1700
60,5812.5,26281.25,71.88,1700
61,6838.87,26491.7,77.59,1700
62,7882.81,26675.78,83.98,1700
63,8938.48,26842.29,91.36,1700
64,10000,27000,100,1700
65,11077.15,27154.79,109.77,1700
66,12179.69,27300.78,120.31,1700
67,13301.76,27429.2,131.64,1700
68,14437.5,27531.25,143.75,1700
69,15581.05,27598.14,156.64,1700
70,16726.56,27621.09,170.31,1700
71,17868.16,27591.31,184.77,1700
72,19000,27500,200,1700
73,20145.51,27368.65,215.67,1700
74,21320.31,27214.84,231.64,1700
75,22506.84,27023.93,248.19,1700
76,23687.5,26781.25,265.63,1700
77,24844.73,26472.17,284.23,1700
78,25960.94,26082.03,304.3,1700
79,27018.55,25596.19,326.12,1700
80,28000,25000,350,1700
81,28920.9,24276.86,376.81,1700
82,29804.69,23433.59,406.64,1700
83,30645.51,22490.72,438.62,1700
84,31437.5,21468.75,471.88,1700
85,32174.8,20388.18,505.52,1700
86,32851.56,19269.53,538.67,1700
87,33461.91,18133.3,570.46,1700
88,34000,17000,600,1700
89,34468.75,15838.87,628.08,1700
90,34875,14617.19,655.86,1700
91,35218.75,13352.54,683.06,1700
92,35500,12062.5,709.38,1700
93,35718.75,10764.65,734.52,1700
94,35875,9476.56,758.2,1700
95,35968.75,8215.82,780.13,1700
96,36000,7000,800,1700
97,35961.91,5806.64,817.29,1700
98,35851.56,4609.38,832.03,1700
99,35674.8,3419.92,844.82,1700
100,35437.5,2250,856.25,1700
101,35145.51,1111.33,866.89,1700
102,34804.69,15.63,877.34,1700
103,34420.9,-1025.39,888.18,1700
104,34000,-2000,900,1700
105,33525.39,-2961.91,914.55,1700
106,32984.38,-3945.31,932.03,1700
107,32388.67,-4909.18,950.68,1700
108,31750,-5812.5,968.75,1700
109,31080.08,-6614.26,984.47,1700
110,30390.63,-7273.44,996.09,1700
111,29693.36,-7749.02,1001.86,1700
112,29000,-8000,1000,1700
113,28291.02,-7903.32,989.36,1700
114,27546.88,-7445.31,971.09,1700
115,26779.3,-6749.02,946.97,1700
116,26000,-5937.5,918.75,1700
117,25220.7,-5133.79,888.18,1700
118,24453.13,-4460.94,857.03,1700
119,23708.98,-4041.99,827.05,1700
120,23000,-4000,800,1700
121,22320.31,-4348.63,775,1700
122,21656.25,-4976.56,750,1700
123,21007.81,-5819.34,725,1700
124,20375,-6812.5,700,1700
125,19757.81,-7891.6,675,1700
126,19156.25,-8992.19,650,1700
127,18570.31,-10049.8,625,1700
128,18000,-11000,600,1700
129,17472.66,-11888.67,574.32,1700
130,17000,-12796.88,547.66,1700
131,16558.59,-13712.89,520.61,1700
132,16125,-14625,493.75,1700
133,15675.78,-15521.48,467.68,1700
134,15187.5,-16390.63,442.97,1700
135,14636.72,-17220.7,420.21,1700
136,14000,-18000,400,1700
137,13268.55,-18775.39,382.71,1700
138,12460.94,-19578.13,367.97,1700
139,11594.73,-20373.05,355.18,1700
140,10687.5,-21125,343.75,1700
141,9756.84,-21798.83,333.11,1700
142,8820.31,-22359.38,322.66,1700
143,7895.51,-22771.48,311.82,1700
144,7000,-23000,300,1700
145,6125,-22953.13,287.16,1700
146,5250,-22625,273.83,1700
147,4375,-22109.38,260.3,1700
148,3500,-21500,246.88,1700
149,2625,-20890.63,233.84,1700
150,1750,-20375,221.48,1700
151,875,-20046.88,210.11,1700
152,0,-20000,200,1700
153,-868.16,-20303.71,191.36,1700
154,-1726.56,-20898.44,183.98,1700
155,-2581.05,-21684.57,177.59,1700
156,-3437.5,-22562.5,171.88,1700
157,-4301.76,-23432.62,166.55,1700
158,-5179.69,-24195.31,161.33,1700
159,-6077.15,-24750.98,155.91,1700
160,-7000,-25000,150,1700
161,-7958.98,-24944.34,143.75,1700
162,-8953.13,-24679.69,137.5,1700
163,-9970.7,-24247.07,131.25,1700
164,-11000,-23687.5,125,1700
165,-12029.3,-23041.99,118.75,1700
166,-13046.88,-22351.56,112.5,1700
167,-14041.02,-21657.23,106.25,1700
168,-15000,-21000,100,1700
169,-15929.69,-20345.7,93.75,1700
170,-16843.75,-19640.63,87.5,1700
171,-17742.19,-18896.48,81.25,1700
172,-18625,-18125,75,1700
173,-19492.19,-17337.89,68.75,1700
174,-20343.75,-16546.88,62.5,1700
175,-21179.69,-15763.67,56.25,1700
176,-22000,-15000,50,1700
177,-22811.52,-14243.16,43.41,1700
178,-23617.19,-13476.56,36.33,1700
179,-24411.13,-12706.05,29.05,1700
180,-25187.5,-11937.5,21.88,1700
181,-25940.43,-11176.76,15.09,1700
182,-26664.06,-10429.69,8.98,1700
183,-27352.54,-9702.15,3.86,1700
184,-28000,-9000,0,1700
185,-28623.05,-8292.97,0,1700
186,-29234.38,-7562.5,0,1700
187,-29822.27,-6832.03,0,1700
188,-30375,-6125,0,1700
189,-30880.86,-5464.84,0,1700
190,-31328.13,-4875,0,1700
191,-31705.08,-4378.91,0,1700
192,-32000,-4000,0,1700
