index,x,y,z,widthCm
0,-21000,-3000,0,1700
1,-20757.32,-3637.7,0,1700
2,-20464.84,-4507.81,0,1700
3,-20119.63,-5545.9,0,1700
4,-19718.75,-6687.5,0,1700
5,-19259.28,-7868.16,0,1700
6,-18738.28,-9023.44,0,1700
7,-18152.83,-10088.87,0,1700
8,-17500,-11000,0,1700
9,-16753.91,-11830.08,3.86,1700
10,-15906.25,-12671.88,8.98,1700
11,-14980.47,-13490.23,15.09,1700
12,-14000,-14250,21.88,1700
13,-12988.28,-14916.02,29.05,1700
14,-11968.75,-15453.13,36.33,1700
15,-10964.84,-15826.17,43.41,1700
16,-10000,-16000,50,1700
17,-9055.66,-15872.56,55.57,1700
18,-8101.56,-15433.59,60.16,1700
19,-7143.55,-14785.64,64.36,1700
20,-6187.5,-14031.25,68.75,1700
21,-5239.26,-13272.95,73.93,1700
22,-4304.69,-12613.28,80.47,1700
23,-3389.65,-12154.79,88.96,1700
24,-2500,-12000,100,1700
25,-1636.23,-12227.54,113.28,1700
26,-792.97,-12773.44,128.13,1700
27,32.71,-13526.37,144.53,1700
28,843.75,-14375,162.5,1700
29,1643.07,-15208.01,182.03,1700
30,2433.59,-15914.06,203.13,1700
31,3218.26,-16381.84,225.78,1700
32,4000,-16500,250,1700
33,4773.93,-16187.5,276.81,1700
34,5535.16,-15515.63,306.64,1700
35,6286.62,-14601.56,338.62,1700
36,7031.25,-13562.5,371.88,1700
37,7771.97,-12515.63,405.52,1700
38,8511.72,-11578.13,438.67,1700
39,9253.42,-10867.19,470.46,1700
40,10000,-10500,500,1700
41,10753.42,-10544.43,527.39,1700
42,11511.72,-10917.97,553.52,1700
43,12271.97,-11512.21,578.66,1700
44,13031.25,-12218.75,603.13,1700
45,13786.62,-12929.2,627.2,1700
46,14535.16,-13535.16,651.17,1700
47,15273.93,-13928.22,675.34,1700
48,16000,-14000,700,1700
49,16708.01,-13739.75,725.68,1700
50,17398.44,-13246.09,752.34,1700
51,18077.15,-12574.71,779.39,1700
52,18750,-11781.25,806.25,1700
53,19422.85,-10921.39,832.32,1700
54,20101.56,-10050.78,857.03,1700
55,20791.99,-9225.1,879.79,1700
56,21500,-8500,900,1700
57,22239.75,-7875,917.97,1700
58,23011.72,-7296.88,934.38,1700
59,23801.27,-6742.19,949.22,1700
60,24593.75,-6187.5,962.5,1700
61,25374.51,-5609.38,974.22,1700
62,26128.91,-4984.38,984.38,1700
63,26842.29,-4289.06,992.97,1700
64,27500,-3500,1000,1700
65,28109.38,-2608.4,1005.47,1700
66,28687.5,-1632.81,1009.38,1700
67,29234.38,-590.82,1011.72,1700
68,29750,500,1012.5,1700
69,30234.38,1622.07,1011.72,1700
70,30687.5,2757.81,1009.38,1700
71,31109.38,3889.65,1005.47,1700
72,31500,5000,1000,1700
73,31876.46,6101.07,992.29,1700
