index,x,y,z,widthCm
0,-46000,8000,0,1700
1,-45242.19,8241.7,1.54,1700
2,-44250,8574.22,3.59,1700
3,-43070.31,8971.19,6.04,1700
4,-41750,9406.25,8.75,1700
5,-40335.94,9853.03,11.62,1700
6,-38875,10285.16,14.53,1700
7,-37414.06,10676.27,17.36,1700
8,-36000,11000,20,1700
9,-34595.7,11266.11,22.57,1700
10,-33140.63,11503.91,25.23,1700
11,-31646.48,11716.31,27.94,1700
12,-30125,11906.25,30.63,1700
13,-28587.89,12076.66,33.23,1700
14,-27046.88,12230.47,35.7,1700
15,-25513.67,12370.61,37.98,1700
16,-24000,12500,40,1700
17,-22500,12613.77,41.87,1700
18,-21000,12707.03,43.67,1700
19,-19500,12782.71,45.36,1700
20,-18000,12843.75,46.88,1700
21,-16500,12893.07,48.15,1700
22,-15000,12933.59,49.14,1700
23,-13500,12968.26,49.78,1700
24,-12000,13000,50,1700
25,-10500,13027.34,49.71,1700
26,-9000,13046.88,48.91,1700
27,-7500,13058.59,47.71,1700
28,-6000,13062.5,46.25,1700
29,-4500,13058.59,44.63,1700
30,-3000,13046.88,42.97,1700
31,-1500,13027.34,41.39,1700
32,0,13000,40,1700
33,1523.93,12978.52,38.61,1700
34,3082.03,12968.75,37.03,1700
35,4653.81,12958.98,35.37,1700
36,6218.75,12937.5,33.75,1700
37,7756.35,12892.58,32.29,1700
38,9246.09,12812.5,31.09,1700
39,10667.48,12685.55,30.29,1700
40,12000,12500,30,1700
41,13260.74,12186.52,30.29,1700
42,14476.56,11726.56,31.09,1700
43,15641.6,11184.57,32.29,1700
44,16750,10625,33.75,1700
45,17795.9,10112.3,35.37,1700
46,18773.44,9710.94,37.03,1700
47,19676.76,9485.35,38.61,1700
48,20500,9500,40,1700
49,21215.33,9852.54,41.32,1700
50,21816.41,10523.44,42.73,1700
51,22329.59,11401.37,44.19,1700
52,22781.25,12375,45.63,1700
53,23197.75,13333.01,46.98,1700
54,23605.47,14164.06,48.2,1700
55,24030.76,14756.84,49.23,1700
56,24500,15000,50,1700
57,24982.91,14805.66,50.41,1700
58,25441.41,14242.19,50.47,1700
59,25890.14,13432.62,50.29,1700
60,26343.75,12500,50,1700
61,26816.89,11567.38,49.71,1700
62,27324.22,10757.81,49.53,1700
63,27880.37,10194.34,49.59,1700
64,28500,10000,50,1700
65,29196.29,10246.58,50.7,1700
66,29960.94,10847.66,51.56,1700
67,30776.37,11688.96,52.58,1700
68,31625,12656.25,53.75,1700
69,32489.26,13635.25,55.08,1700
70,33351.56,14511.72,56.56,1700
71,34194.34,15171.39,58.2,1700
72,35000,15500,60,1700
73,35794.43,15513.67,62.29,1700
74,36605.47,15328.13,65.23,1700
75,37418.46,14978.52,68.53,1700
76,38218.75,14500,71.88,1700
77,38991.7,13927.73,74.99,1700
78,39722.66,13296.88,77.58,1700
79,40396.97,12642.58,79.35,1700
80,41000,12000,80,1700
81,41562.99,11320.8,79.35,1700
82,42113.28,10550.78,77.58,1700
83,42630.37,9716.31,74.99,1700
84,43093.75,8843.75,71.88,1700
85,43482.91,7959.47,68.53,1700
86,43777.34,7089.84,65.23,1700
87,43956.54,6261.23,62.29,1700
88,44000,5500,60,1700
89,43880.37,4803.22,58.27,1700
90,43605.47,4144.53,56.8,1700
91,43207.52,3515.14,55.52,1700
92,42718.75,2906.25,54.37,1700
93,42171.39,2309.08,53.31,1700
94,41597.66,1714.84,52.27,1700
95,41029.79,1114.75,51.18,1700
96,40500,500,50,1700
97,39995.61,-138.67,48.75,1700
98,39480.47,-796.88,47.5,1700
99,38951.66,-1462.89,46.25,1700
100,38406.25,-2125,45,1700
101,37841.31,-2771.48,43.75,1700
102,37253.91,-3390.63,42.5,1700
103,36641.11,-3970.7,41.25,1700
104,36000,-4500,40,1700
105,35321.78,-5015.14,38.75,1700
106,34605.47,-5542.97,37.5,1700
107,33859.86,-6057.13,36.25,1700
108,33093.75,-6531.25,35,1700
109,32315.92,-6938.96,33.75,1700
110,31535.16,-7253.91,32.5,1700
111,30760.25,-7449.71,31.25,1700
112,30000,-7500,30,1700
113,29239.75,-7312.01,28.68,1700
114,28464.84,-6871.09,27.27,1700
115,27684.08,-6268.07,25.81,1700
116,26906.25,-5593.75,24.38,1700
117,26140.14,-4938.96,23.02,1700
118,25394.53,-4394.53,21.8,1700
119,24678.22,-4051.27,20.77,1700
120,24000,-4000,20,1700
121,23362.3,-4325.2,19.59,1700
122,22757.81,-4976.56,19.53,1700
123,22180.66,-5842.77,19.71,1700
124,21625,-6812.5,20,1700
125,21084.96,-7774.41,20.29,1700
126,20554.69,-8617.19,20.47,1700
127,20028.32,-9229.49,20.41,1700
128,19500,-9500,20,1700
129,18982.91,-9351.07,19.16,1700
130,18488.28,-8855.47,17.97,1700
131,18007.32,-8127.44,16.54,1700
132,17531.25,-7281.25,15,1700
133,17051.27,-6431.15,13.46,1700
134,16558.59,-5691.41,12.03,1700
135,16044.43,-5176.27,10.84,1700
136,15500,-5000,10,1700
137,14936.52,-5187.5,9.59,1700
138,14367.19,-5640.63,9.53,1700
139,13786.13,-6289.06,9.71,1700
140,13187.5,-7062.5,10,1700
141,12565.43,-7890.63,10.29,1700
142,11914.06,-8703.13,10.47,1700
143,11227.54,-9429.69,10.41,1700
144,10500,-10000,10,1700
145,9754.88,-10445.8,9.16,1700
146,9007.81,-10847.66,7.97,1700
147,8241.21,-11208.5,6.54,1700
148,7437.5,-11531.25,5,1700
149,6579.1,-11818.85,3.46,1700
150,5648.44,-12074.22,2.03,1700
151,4627.93,-12300.29,0.84,1700
152,3500,-12500,0,1700
153,2239.26,-12665.04,0,1700
154,851.56,-12789.06,0,1700
155,-633.79,-12877.93,0,1700
156,-2187.5,-12937.5,0,1700
157,-3780.27,-12973.63,0,1700
158,-5382.81,-12992.19,0,1700
159,-6965.82,-12999.02,0,1700
160,-8500,-13000,0,1700
161,-10013.67,-13005.86,0,1700
162,-11546.88,-13015.63,0,1700
163,-13087.89,-13017.58,0,1700
164,-14625,-13000,0,1700
165,-16146.48,-12951.17,0,1700
166,-17640.63,-12859.38,0,1700
167,-19095.7,-12712.89,0,1700
168,-20500,-12500,0,1700
169,-21859.38,-12226.56,0,1700
170,-23187.5,-11906.25,0,1700
171,-24484.38,-11539.06,0,1700
172,-25750,-11125,0,1700
173,-26984.38,-10664.06,0,1700
174,-28187.5,-10156.25,0,1700
175,-29359.38,-9601.56,0,1700
176,-30500,-9000,0,1700
177,-31616.21,-8334.47,0,1700
178,-32710.94,-7597.66,0,1700
179,-33778.32,-6804.2,0,1700
180,-34812.5,-5968.75,0,1700
181,-35807.62,-5105.96,0,1700
182,-36757.81,-4230.47,0,1700
183,-37657.23,-3356.93,0,1700
184,-38500,-2500,0,1700
185,-39285.64,-1625,0,1700
186,-40019.53,-703.13,0,1700
187,-40704.59,242.19,0,1700
188,-41343.75,1187.5,0,1700
189,-41939.94,2109.38,0,1700
190,-42496.09,2984.38,0,1700
191,-43015.14,3789.06,0,1700
192,-43500,4500,0,1700
193,-43949.22,5128.91,0,1700
194,-44359.38,5703.13,0,1700
195,-44730.47,6222.66,0,1700
196,-45062.5,6687.5,0,1700
197,-45355.47,7097.66,0,1700
198,-45609.38,7453.13,0,1700
199,-45824.22,7753.91,0,1700
200,-46000,8000,0,1700
