index,x,y,z,widthCm
0,-28000,-6000,0,1600
1,-28188.48,-5375.98,0,1600
2,-28476.56,-4539.06,0,1600
3,-28823.24,-3541.99,0,1600
4,-29187.5,-2437.5,0,1600
5,-29528.32,-1278.32,0,1600
6,-29804.69,-117.19,0,1600
7,-29975.59,993.16,0,1600
8,-30000,2000,0,1600
9,-29891.6,2936.52,3.86,1600
10,-29695.31,3867.19,8.98,1600
11,-29416.99,4786.13,15.09,1600
12,-29062.5,5687.5,21.88,1600
13,-28637.7,6565.43,29.05,1600
14,-28148.44,7414.06,36.33,1600
15,-27600.59,8227.54,43.41,1600
16,-27000,9000,50,1600
17,-26309.57,9782.23,56.59,1600
18,-25507.81,10601.56,63.67,1600
19,-24624.02,11416.99,70.95,1600
20,-23687.5,12187.5,78.13,1600
21,-22727.54,12872.07,84.91,1600
22,-21773.44,13429.69,91.02,1600
23,-20854.49,13819.34,96.14,1600
24,-20000,14000,100,1600
25,-19202.15,13862.3,102.05,1600
26,-18429.69,13398.44,102.34,1600
27,-17676.76,12719.73,101.46,1600
28,-16937.5,11937.5,100,1600
29,-16206.05,11163.09,98.54,1600
30,-15476.56,10507.81,97.66,1600
31,-14743.16,10083.01,97.95,1600
32,-14000,10000,100,1600
33,-13263.67,10291.99,103.86,1600
34,-12546.88,10867.19,108.98,1600
35,-11837.89,11649.41,115.09,1600
36,-11125,12562.5,121.88,1600
37,-10396.48,13530.27,129.05,1600
38,-9640.63,14476.56,136.33,1600
39,-8845.7,15325.2,143.41,1600
40,-8000,16000,150,1600
41,-7102.54,16532.23,156.25,1600
42,-6164.06,17007.81,162.5,1600
43,-5190.43,17432.62,168.75,1600
44,-4187.5,17812.5,175,1600
45,-3161.13,18153.32,181.25,1600
46,-2117.19,18460.94,187.5,1600
47,-1061.52,18741.21,193.75,1600
48,0,19000,200,1600
49,1077.15,19237.79,206.25,1600
50,2179.69,19449.22,212.5,1600
51,3301.76,19631.35,218.75,1600
52,4437.5,19781.25,225,1600
53,5581.05,19896,231.25,1600
54,6726.56,19972.66,237.5,1600
55,7868.16,20008.3,243.75,1600
56,9000,20000,250,1600
57,10138.67,19966.31,256.25,1600
58,11296.88,19917.97,262.5,1600
59,12462.89,19840.33,268.75,1600
60,13625,19718.75,275,1600
61,14771.48,19538.57,281.25,1600
62,15890.63,19285.16,287.5,1600
63,16970.7,18943.85,293.75,1600
64,18000,18500,300,1600
65,18991.21,17937.01,306.25,1600
66,19960.94,17261.72,312.5,1600
67,20903.32,16494.63,318.75,1600
68,21812.5,15656.25,325,1600
69,22682.62,14767.09,331.25,1600
70,23507.81,13847.66,337.5,1600
71,24282.23,12918.46,343.75,1600
72,25000,12000,350,1600
73,25684.57,11071.78,356.25,1600
74,26351.56,10105.47,362.5,1600
75,26983.4,9109.86,368.75,1600
76,27562.5,8093.75,375,1600
77,28071.29,7065.92,381.25,1600
78,28492.19,6035.16,387.5,1600
79,28807.62,5010.25,393.75,1600
80,29000,4000,400,1600
81,29071.29,2931.64,406.93,1600
82,29039.06,1765.63,414.84,1600
83,28909.18,560.55,423.14,1600
84,28687.5,-625,431.25,1600
85,28379.88,-1732.42,438.57,1600
86,27992.19,-2703.13,444.53,1600
87,27530.27,-3478.52,448.54,1600
88,27000,-4000,450,1600
89,26295.9,-4166.99,447.51,1600
90,25367.19,-3992.19,441.02,1600
91,24301.76,-3586.91,431.98,1600
92,23187.5,-3062.5,421.88,1600
93,22112.3,-2530.27,412.16,1600
94,21164.06,-2101.56,404.3,1600
95,20430.66,-1887.7,399.76,1600
96,20000,-2000,400,1600
97,19937.5,-2451.17,405.66,1600
98,20187.5,-3140.63,415.63,1600
99,20656.25,-4009.77,428.71,1600
100,21250,-5000,443.75,1600
101,21875,-6052.73,459.57,1600
102,22437.5,-7109.38,475,1600
103,22843.75,-8111.33,488.87,1600
104,23000,-9000,500,1600
105,22939.45,-9859.38,509.33,1600
106,22765.63,-10781.25,518.36,1600
107,22490.23,-11718.75,526.81,1600
108,22125,-12625,534.38,1600
109,21681.64,-13453.13,540.77,1600
110,21171.88,-14156.25,545.7,1600
111,20607.42,-14687.5,548.88,1600
112,20000,-15000,550,1600
113,19309.57,-14994.14,546.83,1600
114,18507.81,-14671.88,538.67,1600
115,17624.02,-14138.67,527.59,1600
116,16687.5,-13500,515.63,1600
117,15727.54,-12861.33,504.83,1600
118,14773.44,-12328.13,497.27,1600
119,13854.49,-12005.86,494.97,1600
120,13000,-12000,500,1600
121,12208.98,-12339.84,513.72,1600
122,11453.13,-12937.5,534.77,1600
123,10720.7,-13722.66,561.08,1600
