index,x,y,z,widthCm
0,-61467.16,0,0,1300
1,-61428.89,700.81,0,1300
2,-61401.13,1620.72,0,1300
3,-61370.36,2714.7,0,1300
4,-61323.09,3937.74,0,1300
5,-61245.81,5244.82,0,1300
6,-61125,6590.91,0,1300
7,-60947.18,7931,0,1300
8,-60698.82,9220.07,0,1300
9,-60370.92,10491.13,7.71,1300
10,-59972.5,11801.21,17.97,1300
11,-59517.04,13141.31,30.18,1300
12,-59018.07,14502.41,43.75,1300
13,-58489.09,15875.51,58.11,1300
14,-57943.6,17251.62,72.66,1300
15,-57395.11,18621.73,86.82,1300
16,-56857.12,19976.83,100,1300
17,-56338.64,21331.92,112.5,1300
18,-55830.67,22702.03,125,1300
19,-55319.69,24078.14,137.5,1300
20,-54792.21,25451.24,150,1300
21,-54234.71,26812.35,162.5,1300
22,-53633.69,28152.44,175,1300
23,-52975.65,29462.52,187.5,1300
24,-52247.08,30733.58,200,1300
25,-51444.23,31970.12,211.82,1300
26,-50578.34,33182.66,222.66,1300
27,-49658.44,34371.18,233.11,1300
28,-48693.51,35535.7,243.75,1300
29,-47692.57,36676.2,255.18,1300
30,-46664.62,37792.7,267.97,1300
31,-45618.65,38885.18,282.71,1300
32,-44563.69,39953.65,300,1300
33,-43495.22,41008.62,320.21,1300
34,-42402.73,42054.58,342.97,1300
35,-41286.24,43082.53,367.68,1300
36,-40145.74,44083.48,393.75,1300
37,-38981.22,45048.4,420.61,1300
38,-37792.7,45968.31,447.66,1300
39,-36580.16,46834.19,474.32,1300
40,-35343.61,47637.05,500,1300
41,-34072.55,48370.87,524.32,1312.5
42,-32762.47,49041.67,547.66,1325
43,-31422.38,49658.44,570.61,1337.5
44,-30061.28,50230.19,593.75,1350
45,-28688.17,50765.93,617.68,1362.5
46,-27312.07,51274.65,642.97,1375
47,-25941.96,51765.37,670.21,1387.5
48,-24586.86,52247.08,700,1400
49,-23242.27,52731.05,732.03,1400
50,-21897.67,53213.51,765.63,1400
51,-20553.08,53680.97,800.78,1400
52,-19208.49,54119.91,837.5,1400
53,-17863.89,54516.83,875.78,1400
54,-16519.3,54858.24,915.63,1400
55,-15174.7,55130.61,957.03,1400
56,-13830.11,55320.44,1000,1400
57,-12485.52,55418.73,1045.21,1387.5
58,-11140.92,55434.49,1092.97,1375
59,-9796.33,55381.22,1142.68,1362.5
60,-8451.73,55272.42,1193.75,1350
61,-7107.14,55121.6,1245.61,1337.5
62,-5762.55,54942.27,1297.66,1325
63,-4417.95,54747.94,1349.32,1312.5
64,-3073.36,54552.1,1400,1300
65,-1728.76,54353.26,1450,1300
66,-384.17,54137.92,1500,1300
67,960.42,53901.56,1550,1300
68,2305.02,53639.7,1600,1300
69,3649.61,53347.82,1650,1300
70,4994.21,53021.42,1700,1300
71,6338.8,52656.01,1750,1300
72,7683.39,52247.08,1800,1300
73,9038.49,51791.63,1848.63,1300
74,10408.6,51292.66,1895.31,1300
75,11784.71,50754.67,1941.21,1300
76,13157.81,50182.17,1987.5,1300
77,14518.91,49579.65,2035.35,1300
