index,x,y,z,widthCm
0,0,0,0,1300
1,0,657.71,0,1300
2,0,1531.89,0,1300
3,0,2572.57,0,1300
4,0,3729.81,0,1300
5,0,4953.65,0,1300
6,0,6194.15,0,1300
7,0,7401.34,0,1300
8,0,8525.28,0,1300
9,0,9590.94,2.38,1300
10,0,10656.6,5.62,1300
11,0,11722.26,9.49,1300
12,0,12787.92,13.75,1300
13,0,13853.58,18.16,1300
14,0,14919.24,22.5,1300
15,0,15984.9,26.52,1300
16,0,17050.56,30,1300
17,0,18116.22,32.91,1300
18,0,19181.88,35.47,1300
19,0,20247.54,37.79,1300
20,0,21313.2,40,1300
21,0,22378.86,42.21,1300
22,0,23444.52,44.53,1300
23,0,24510.18,47.09,1300
24,0,25575.84,50,1300
25,0,26641.5,53.34,1300
26,0,27707.16,57.03,1300
27,0,28772.82,60.96,1300
28,0,29838.48,65,1300
29,0,30904.14,69.04,1300
30,0,31969.8,72.97,1300
31,0,33035.46,76.66,1300
32,0,34101.12,80,1300
33,-21.85,35210.49,83.05,1300
34,-74.93,36382.3,85.94,1300
35,-140.49,37579.09,88.67,1300
36,-199.81,38763.38,91.25,1300
37,-234.15,39897.73,93.67,1300
38,-224.79,40944.66,95.94,1300
39,-152.98,41866.7,98.05,1300
40,0,42626.4,100,1300
41,232.07,43227.92,101.73,1300
42,524.5,43708.71,103.2,1300
43,871.05,44081.28,104.48,1300
44,1265.47,44358.1,105.63,1300
45,1701.52,44551.67,106.69,1300
46,2172.95,44674.47,107.73,1300
47,2673.52,44738.99,108.82,1300
48,3196.98,44757.72,110,1300
49,3753.75,44680.71,111.25,1300
50,4354.22,44474.66,112.5,1300
51,4992.16,44177.02,113.75,1300
52,5661.32,43825.27,115,1300
53,6355.45,43456.87,116.25,1300
54,7068.32,43109.28,117.5,1300
55,7793.68,42819.97,118.75,1300
56,8525.28,42626.4,120,1300
57,9273.53,42524.41,121.18,1312.5
58,10048.84,42476.54,122.27,1325
59,10844.96,42470.3,123.31,1337.5
60,11655.66,42493.19,124.37,1350
61,12474.67,42532.74,125.52,1362.5
62,13295.77,42576.45,126.8,1375
63,14112.71,42611.83,128.27,1387.5
64,14919.24,42626.4,130,1400
65,15718.49,42604.55,132.02,1387.5
66,16517.73,42551.47,134.3,1375
67,17316.98,42485.91,136.77,1362.5
68,18116.22,42426.59,139.38,1350
69,18915.47,42392.25,142.06,1337.5
70,19714.71,42401.61,144.77,1325
71,20513.96,42473.42,147.43,1312.5
72,21313.2,42626.4,150,1300
73,22112.45,42902.18,152.5,1300
74,22911.69,43300.76,155,1300
75,23710.94,43778.44,157.5,1300
76,24510.18,44291.5,160,1300
77,25309.43,44796.23,162.5,1300
78,26108.67,45248.92,165,1300
79,26907.92,45605.88,167.5,1300
80,27707.16,45823.38,170,1300
81,28491.84,45901.43,172.57,1300
82,29255.7,45881.66,175.23,1300
83,30011.23,45782.8,177.94,1300
84,30770.93,45623.57,180.63,1300
85,31547.28,45422.72,183.23,1300
86,32352.77,45198.97,185.7,1300
87,33199.89,44971.06,187.98,1300
88,34101.12,44757.72,190,1300
89,35086.65,44549.58,191.66,1300
90,36157.51,44324.8,192.97,1300
91,37282.49,44083.36,194.04,1300
92,38430.37,43825.27,195,1300
93,39569.91,43550.53,195.96,1300
94,40669.92,43259.14,197.03,1300
95,41699.15,42951.09,198.34,1300
96,42626.4,42626.4,200,1300
97,43459.99,42292.34,202.02,1300
98,44233.22,41952.04,204.3,1300
99,44952.33,41599.25,206.77,1300
100,45623.57,41227.72,209.38,1300
101,46253.18,40831.22,212.06,1300
102,46847.41,40403.5,214.77,1300
103,47412.51,39938.32,217.43,1300
104,47954.7,39429.42,220,1300
105,48463.6,38887.23,222.57,1300
106,48928.78,38322.13,225.23,1300
107,49356.5,37727.9,227.94,1300
108,49753,37098.29,230.63,1300
109,50124.53,36427.05,233.23,1300
110,50477.32,35707.94,235.7,1300
111,50817.62,34934.71,237.98,1300
112,51151.68,34101.12,240,1300
113,51483.66,33217.58,241.59,1312.5
114,51809.39,32294.49,242.73,1325
115,52122.64,31325.62,243.6,1337.5
116,52417.15,30304.71,244.37,1350
117,52686.69,29225.52,245.22,1362.5
118,52925.01,28081.81,246.33,1375
119,53125.86,26867.33,247.86,1387.5
120,53283,25575.84,250,1400
121,53384.99,24181.32,252.86,1400
122,53432.86,22678.58,256.33,1400
123,53439.1,21092.58,260.22,1400
124,53416.21,19448.3,264.38,1400
125,53376.66,17770.71,268.6,1400
126,53332.95,16084.81,272.73,1400
127,53297.57,14415.55,276.59,1400
128,53283,12787.92,280,1400
129,53283,11174.86,282.98,1400
130,53283,9540.99,285.7,1400
