index,x,y,z,widthCm
0,-26000,-2000,0,1700
1,-26097.66,-1453.13,0,1700
2,-26250,-718.75,0,1700
3,-26433.59,156.25,0,1700
4,-26625,1125,0,1700
5,-26800.78,2140.63,0,1700
6,-26937.5,3156.25,0,1700
7,-27011.72,4125,0,1700
8,-27000,5000,0,1700
9,-26917.48,5811.52,3.09,1700
10,-26792.97,6617.19,7.19,1700
11,-26623.54,7411.13,12.07,1700
12,-26406.25,8187.5,17.5,1700
13,-26138.18,8940.43,23.24,1700
14,-25816.41,9664.06,29.06,1700
15,-25437.99,10352.54,34.73,1700
16,-25000,11000,40,1700
17,-24486.82,11612.79,45,1700
18,-23894.53,12199.22,50,1700
19,-23237.79,12756.35,55,1700
20,-22531.25,13281.25,60,1700
21,-21789.55,13771,65,1700
22,-21027.34,14222.66,70,1700
23,-20259.28,14633.3,75,1700
24,-19500,15000,80,1700
25,-18728.52,15341.31,85.07,1700
26,-17921.88,15667.97,90.23,1700
27,-17091.8,15965.33,95.44,1700
28,-16250,16218.75,100.63,1700
29,-15408.2,16413.57,105.73,1700
30,-14578.13,16535.16,110.7,1700
31,-13771.48,16568.85,115.48,1700
32,-13000,16500,120,1700
33,-12261.23,16260.74,124.64,1700
34,-11542.97,15835.94,129.61,1700
35,-10842.29,15290.04,134.62,1700
36,-10156.25,14687.5,139.38,1700
37,-9481.93,14092.77,143.58,1700
38,-8816.41,13570.31,146.95,1700
39,-8156.74,13184.57,149.19,1700
40,-7500,13000,150,1700
41,-6857.91,13015.14,149.19,1700
42,-6238.28,13167.97,146.95,1700
43,-5632.32,13432.13,143.58,1700
44,-5031.25,13781.25,139.38,1700
45,-4426.27,14188.96,134.62,1700
46,-3808.59,14628.91,129.61,1700
47,-3169.43,15074.71,124.64,1700
48,-2500,15500,120,1700
49,-1811.52,15982.91,115.41,1700
50,-1117.19,16582.03,110.47,1700
51,-411.13,17241.7,105.29,1700
52,312.5,17906.25,100,1700
53,1059.57,18520.02,94.71,1700
54,1835.94,19027.34,89.53,1700
55,2647.46,19372.56,84.59,1700
56,3500,19500,80,1700
57,4465.82,19413.57,75.7,1700
58,5570.31,19167.97,71.56,1700
59,6749.02,18783.69,67.58,1700
60,7937.5,18281.25,63.75,1700
61,9071.29,17681.15,60.08,1700
62,10085.94,17003.91,56.56,1700
63,10916.99,16270.02,53.2,1700
64,11500,15500,50,1700
65,11846.68,14622.07,46.95,1700
66,12023.44,13585.94,44.06,1700
67,12047.85,12444.34,41.33,1700
68,11937.5,11250,38.75,1700
69,11709.96,10055.66,36.33,1700
70,11382.81,8914.06,34.06,1700
71,10973.63,7877.93,31.95,1700
72,10500,7000,30,1700
73,9826.66,6274.41,28.2,1700
74,8878.91,5648.44,26.56,1700
75,7765.14,5104.49,25.08,1700
76,6593.75,4625,23.75,1700
77,5473.14,4192.38,22.58,1700
78,4511.72,3789.06,21.56,1700
79,3817.87,3397.46,20.7,1700
80,3500,3000,20,1700
81,3579.1,2574.71,19.66,1700
82,3960.94,2128.91,19.77,1700
83,4581.05,1688.96,20.15,1700
84,5375,1281.25,20.63,1700
85,6278.32,932.13,21.03,1700
86,7226.56,667.97,21.17,1700
87,8155.27,515.14,20.89,1700
88,9000,500,20,1700
89,9833.98,612.79,18.32,1700
90,10750,824.22,15.94,1700
91,11712.89,1131.35,13.09,1700
92,12687.5,1531.25,10,1700
93,13638.67,2021,6.91,1700
94,14531.25,2597.66,4.06,1700
95,15330.08,3258.3,1.68,1700
96,16000,4000,0,1700
97,16555.18,4865.23,0,1700
98,17035.16,5875,0,1700
99,17442.87,6994.14,0,1700
100,17781.25,8187.5,0,1700
101,18053.22,9419.92,0,1700
102,18261.72,10656.25,0,1700
103,18409.67,11861.33,0,1700
104,18500,13000,0,1700
105,18469.73,14100.1,0,1700
106,18289.06,15207.03,0,1700
107,18010.74,16312.01,0,1700
108,17687.5,17406.25,0,1700
109,17372.07,18480.96,0,1700
110,17117.19,19527.34,0,1700
111,16975.59,20536.62,0,1700
112,17000,21500,0,1700
113,17191.41,22483.4,0,1700
114,17500,23523.44,0,1700
115,17902.34,24567.38,0,1700
116,18375,25562.5,0,1700
117,18894.53,26456.05,0,1700
118,19437.5,27195.31,0,1700
119,19980.47,27727.54,0,1700
120,20500,28000,0,1700
121,21014.65,27902.34,0,1700
122,21554.69,27437.5,0,1700
123,22114.26,26722.66,0,1700
124,22687.5,25875,0,1700
125,23268.55,25011.72,0,1700
126,23851.56,24250,0,1700
127,24430.66,23707.03,0,1700
128,25000,23500,0,1700
129,25552.25,23679.69,0,1700
130,26089.84,24156.25,0,1700
131,26621.58,24835.94,0,1700
132,27156.25,25625,0,1700
133,27702.64,26429.69,0,1700
134,28269.53,27156.25,0,1700
135,28865.72,27710.94,0,1700
136,29500,28000,0,1700
137,30195.31,28053.22,0,1700
138,30953.13,27972.66,0,1700
139,31750,27772.95,0,1700
140,32562.5,27468.75,0,1700
141,33367.19,27074.71,0,1700
142,34140.63,26605.47,0,1700
143,34859.38,26075.68,0,1700
144,35500,25500,0,1700
145,36074.22,24850.59,0,1700
146,36609.38,24101.56,0,1700
